PLATETEMPERATUREMONITOR,t,2,3,standard,1,1,1,2,plate_temperature_monitor,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
UmTemperatureSourceLog,f,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,umtemperaturesourcelog,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
ADCMEASUREMENT,t,2,3,standard,1,1,1,2,adc_measurement,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
OperationLog,t,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,operation_log,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
RUNNING,f,1,2,RUNNING,-99999999999999,-99999999999999,-99999999999999,-99999999999999,running,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
SICAXISPOSITIONMONITOR,t,2,3,standard,1,1,1,2,sic_axis_position_monitor,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
PLATEAUTOFOCUSCOMPENSATION,t,2,3,standard,1,1,1,2,plate_auto_focus_compensation,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
UMACCELERATIONMONITOR[MA_MSD],t,2,3,standard,1,1,1,2,um_acceleration_monitor_ma_msd,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
STATICELECTRICITYMONITOR3,t,2,3,standard,1,1,1,2,static_electricity_monitor3,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
LaserInterferometerPowerLog,f,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,laser_interferometer_power_log,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
SafetyInformation,f,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,safety_information,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
FDCMONITOR,t,2,3,standard,1,1,1,2,fdc_monitor,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
FOCUSSHIFTCOMPENSATIONMONITOR,t,2,3,standard,1,1,1,2,focus_shift_compensation_monitor,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
IlluminationAutoAdjustLog,f,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,illumination_autoadjust_log,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
MSXBMBMonitor,f,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,msx_bmb_monitor,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
UmPressureLog,f,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,umpressurelog,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
PLATEAAMONITOR,t,2,3,standard,1,1,1,2,plate_aa_monitor,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
ConsoleLog,f,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,console_log,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
PRESCANCOMPENSATIONMONITOR,t,2,3,standard,1,1,1,2,pre_scan_compensation_monitor,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
CHAMBERATMOSPHEREPRESSURELOG,t,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,chamber_atmosphere_pressure_log,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
ALIGNMENTIMAGEEVALUATIONMONITOR,t,2,3,standard,1,1,1,2,alignment_image_evaluation_monitor,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
CHAMBERFLOWRATELOG,t,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,chamber_flow_rate_log,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
IlluminanceCalibration,t,1,3,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,illuminance_calibration,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
MASKBENDMONITOR3,t,2,3,standard,1,1,1,2,mask_bend_monitor3,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
EXPOSUREHISTORYCOMPENSATEFOCUSMONITOR,t,2,3,standard,1,1,1,2,exposure_history_compensate_focus_monitor,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
STATICELECTRICITYMONITOR,t,2,3,standard,1,1,1,2,static_electricity_monitor,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
SRCMONITOR,t,2,3,standard,1,1,1,2,src_monitor,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
PLATEFOCUSINTERLOCKMONITOR,t,2,3,standard,1,1,1,2,plate_focus_interlock_monitor,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
STAGEPOSITIONMONITOR,t,2,3,standard,1,1,1,2,stage_position_monitor,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
MountPressLog,t,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,mount_press_log,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
CHAMBERTEMPERATURELOG,t,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,chamber_temperature_log,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
LiPSTVAA,f,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,lips_tvaa,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
OperationLog,t,-1,1,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,operation_log,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
UmHeaterLog,f,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,umheaterlog,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
FULLSHOTAASEARCHMONITOR,t,2,3,standard,1,1,1,2,full_shot_aa_search_monitor,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
MOUNTPHIMONITOR,t,2,3,standard,1,1,1,2,mount_phi_monitor,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
CHAMBERHEATERLOG,t,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,chamber_heater_log,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
ErrorLog,t,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,error_log,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
ADCMEASUREMENT[RAW],t,2,3,standard,1,1,1,2,adc_measurement_raw,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
ChamberLog,f,-1,2,CHAMBER,-99999999999999,-99999999999999,-99999999999999,-99999999999999,chamber_log,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
EACHSHOTILLUMINATIONAUTOADJUSTMONITOR,t,2,3,standard,1,1,1,2,each_shot_illumination_auto_adjust_monitor,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
EXPOSUREHISTORYCOMPENSATETILTMONITOR,t,2,3,standard,1,1,1,2,exposure_history_compensate_tilt_monitor,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
UmTemperatureControlLog,f,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,umtemperaturecontrollog,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
OASMEASUREMENTMONITOR,t,2,3,standard,1,1,1,2,oas_measurement_monitor,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
EnvironmentalCompensationLog,f,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,environmental_compensation_log,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
ADCREMEASUREMENT[DETAIL],t,2,3,standard,1,1,1,2,adc_remeasurement_detail,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
TVPREMONITOR,t,2,3,standard,1,1,1,2,tv_pre_monitor,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
MECHAPRESENSORDISPLACEMENT,t,2,3,standard,1,1,1,2,mecha_pre_sensor_displacement,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
IlluminationAdjustLog,f,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,illumination_adjust_log,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
UMACCELERATIONMONITOR,t,2,3,standard,1,1,1,2,um_acceleration_monitor,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
MASKOPAFLOG,f,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,mask_opaf_log,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
MASKTEMPERATUREMONITOR,t,2,3,standard,1,1,1,2,mask_temperature_monitor,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
MASKBENDMONITOR,t,2,3,standard,1,1,1,2,mask_bend_monitor,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
STAGEACCURACY[ALIGNMENT],t,2,3,standard,1,1,1,2,stage_accuracy_alignment,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
STAGEVACUUMMONITOR,t,2,3,standard,1,1,1,2,stage_vacuum_monitor,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
OASCOMPENSATIONMONITOR,t,2,3,standard,1,1,1,2,oas_compensation_monitor,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
CHAMBERPRESSURELOG,t,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,chamber_pressure_log,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
STAGESYNCERRORCANCELMONITOR,t,2,3,standard,1,1,1,2,stage_sync_error_cancel_monitor,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
ChuckFlatInterlockLog,f,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,chuck_flat_interlock_log,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
SPLITMODEOFFSETMONITOR,t,2,3,standard,1,1,1,2,split_mode_offset_monitor,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
LiPSPosition,f,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,lips_position,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
OASBASELINEMEASUREMENTMONITOR,t,2,3,standard,1,1,1,2,oas_baseline_measurement_monitor,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
TiltMeasurementLog,t,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,tilt_measurement_log,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
MASKIMAGEAUTOFOCUS,t,2,3,standard,1,1,1,2,mask_image_auto_focus,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
AAFINALOFFSET,t,2,3,standard,1,1,1,2,aa_final_offset,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
UmTemperatureLog,f,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,umtemperaturelog,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
SMBPositionAdjustLog,f,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,smb_position_adjustLog,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
ErrorLog,t,-1,1,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,error_log,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
ADCREMEASUREMENT,t,2,3,standard,1,1,1,2,adc_remeasurement,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
MASKAAMONITOR,t,2,3,standard,1,1,1,2,mask_aa_monitor,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
IlluminationStatusLog,t,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,illumination_status_log,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
ALIGNMENTCONDITIONMONITOR[PLATEFINEMARK],t,2,3,standard,1,1,1,2,alignment_condition_monitor_plate_fine_mark,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
STAGEACCURACYAFC,t,2,3,standard,1,1,1,2,stage_accuracy_afc,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
ADCCOMPENSATIONUM,t,2,3,standard,1,1,1,2,adc_compensation_um,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
ALIGNMENTCONDITIONMONITORPLATEPREMARK,t,2,3,standard,1,1,1,2,alignment_condition_monitor_plate_pre_mark,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
M_PSYNCHRONIZATIONERROR,t,2,3,standard,1,1,1,2,m_p_synchronization_error,with_header,-99999999999999,-99999999999999,1,3
ADCCOMPENSATION,t,2,3,standard,1,1,1,2,adc_compensation,with_header,-99999999999999,-99999999999999,1,5
PLATEAUTOFOCUSCOMPENSATION,t,-1,2,standard,1,1,1,2,plate_auto_focus_compensation,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
STAGEVACUUMMONITOR,t,-1,2,standard,1,1,1,2,stage_vacuum_monitor,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
TVPREMONITOR,t,-1,2,standard,1,1,1,2,tv_pre_monitor,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
ADCMEASUREMENT,t,-1,2,standard,1,1,1,2,adc_measurement,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
ChamberDetailLog,t,-1,-1,CHAMBER,-99999999999999,-99999999999999,-99999999999999,-99999999999999,chamber_detail_log,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
LaserInterferometerPowerLog,f,-1,1,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,laser_interferometer_power_log,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
TiltMeasurementLog,t,-1,1,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,tilt_measurement_log,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
IlluminationStatusLog,t,-1,1,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,illumination_status_log,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
MASKSCANADJUST,t,-1,1,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,mask_scan_adjust,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
MASKSCANADJUST,t,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,mask_scan_adjust,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
LiPSFocus,t,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,lips_log_focus,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
VersionInfo,t,-1,1,version,-99999999999999,-99999999999999,-99999999999999,-99999999999999,version_info,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
MECHAPREALIGNMENT,t,2,3,standard,1,1,1,2,mecha_pre_alignment,with_header,1,3,-99999999999999,-99999999999999
M_PSYNCHRONIZATIONERROR,t,-1,2,standard,1,1,1,2,m_p_synchronization_error,without_header,-99999999999999,-99999999999999,1,3
LiPSTVAA,f,1,1,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,lips_tvaa,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
PLATETEMPERATUREMONITOR,t,2,2,standard,1,1,1,2,plate_temperature_monitor,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
PLATEAAMONITOR,t,2,2,standard,1,1,1,2,plate_aa_monitor,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
MASKBENDMONITOR3,t,2,2,standard,1,1,1,2,mask_bend_monitor3,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
MASKAAMONITOR,t,2,2,standard,1,1,1,2,mask_aa_monitor,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
ADCCOMPENSATIONUM,t,2,2,standard,1,1,1,2,adc_compensation_um,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
EACHSHOTILLUMINATIONAUTOADJUSTMONITOR,t,2,2,standard,1,1,1,2,each_shot_illumination_auto_adjust_monitor,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
STATICELECTRICITYMONITOR3,t,2,2,standard,1,1,1,2,static_electricity_monitor3,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
SICAXISPOSITIONMONITOR,t,2,2,standard,1,1,1,2,sic_axis_position_monitor,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
STAGESYNCERRORCANCELMONITOR,t,2,2,standard,1,1,1,2,stage_sync_error_cancel_monitor,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
SRCMONITOR,t,2,2,standard,1,1,1,2,src_monitor,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
OASBASELINEMEASUREMENTMONITOR,t,2,2,standard,1,1,1,2,oas_baseline_measurement_monitor,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
MECHAPREALIGNMENT,t,2,2,standard,1,1,1,2,mecha_pre_alignment,without_header,1,3,-99999999999999,-99999999999999
ALIGNMENTIMAGEEVALUATIONMONITOR,t,2,2,standard,1,1,1,2,alignment_image_evaluation_monitor,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
ADCCOMPENSATION,t,-1,2,standard,1,1,1,2,adc_compensation,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
STAGEACCURACYAFC,t,-1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,stage_accuracy_afc,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
RUNNINGevent,t,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,running_event,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
StatusMonitor,t,1,2,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,status_monitor_analysis,with_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
RUNNINGevent,t,-1,1,standard,-99999999999999,-99999999999999,-99999999999999,-99999999999999,running_event,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
UMTemperatureDetailLog,t,1,2,CHAMBER,-99999999999999,-99999999999999,-99999999999999,-99999999999999,um_temperature_detail,without_header,-99999999999999,-99999999999999,-99999999999999,-99999999999999
